SCRIPTURE INDEX
In the references below, bold numbers identify the volume; lightface numbers, the pages.
Genesis
1:1     1:526-527, 667, 1059-1060; 2:1032
9:25    1:399-400, 557, 1023, 1125-1126
9:26    1:1023, 1125-1126; 2:920
9:27    1:1255
10:5    2:202
10:7    1:1045-1046
10:8    2:503
10:9    1:110-111; 2:503
10:10   2:503
10:11   1:202-203, 388; 2:503
10:20   2:202
10:21   1:673, 1066-1067, 1255; 2:919
10:22   1:701-702, 974
10:25   1:460; 2:595
10:29   1:1046
10:31   2:202
10:32   1:329
11:1    1:1068; 2:201-202
11:3    2:434
11:4    1:147, 239, 973, 1169; 2:321-322, 660
11:6    2:660-661
11:7    1:147
11:9    1:312, 610-611; 2:202-203, 464
11:31   1:29
12:1    1:522-523
12:2    2:468
12:8    1:295
13:10   1:295, 636
14:7    1:1048
14:10   1:153, 337
14:13   1:75, 106, 1065-1067
14:14   1:573-574
14:18   2:683
15:2    1:50, 709
15:3    1:709
15:6    1:604
15:13   1:460-461, 776
15:16   1:97, 402-403, 738, 911-912
15:18   1:700, 768; 2:928
16:7    1:290
16:12   1:1226
17:1    1:77-78
17:5    1:31; 2:473
17:10   1:523
17:17   2:208
18:8    1:1149
18:12   2:208, 863
18:19   2:181
18:21   1:853
19:11   1:343
19:24   1:153
19:29   1:153
19:33   1:657
19:38   1:92
20:2    2:867
20:7    2:694-695
20:14   2:863
20:16   2:863
21:6    2:208
21:8    1:460-461
21:9    1:460-461, 776, 1017, 1216
21:14   1:1225
21:15   1:1017-1018, 1225-1226
21:19   1:277
22:2    1:31; 2:433
22:4    2:433
22:12   1:853; 2:181
22:17   1:892-893; 2:887-890
22:18   2:362-363
23:9    1:377
23:17   2:290
24:2    1:217
24:3    1:400
24:65   1:1053; 2:341
25:1    1:911
25:6    2:147
25:18   1:1045, 1226-1227
25:23   1:856
25:26   1:1084
25:27   1:1242
25:33   1:759
26:33   1:277-278
27:10   1:1243
27:19   1:1243
27:34   1:856; 2:773
27:39   1:678
27:40   1:680
28:12   2:189
28:19   1:529-530
29:23   2:341
29:25   2:229, 341
29:31   2:229
30:3    1:318
30:14   2:308
30:24   2:106
31:10   1:1244
31:19   1:149; 2:726-727, 1087-1088
31:23   1:1244; 2:1087-1088
31:46   1:883
32:2    2:296
32:25   1:1245
32:28   1:1228; 2:190
32:29   1:106-107
33:19   1:1245
33:20   1:980
34:2    1:529-530
35:6    1:529-530
35:7    1:704
35:8    1:600
36:31   1:680
37:3    2:106
37:9    2:106
37:10   2:106
37:22   1:561
37:25   1:1227
37:28   2:396
37:29   1:561
37:30   1:561
37:31   1:561-562
38:9    2:555
39:10   2:107
40:15   1:1065-1066; 2:107
41:14   1:267, 1020
41:43   1:222
42:25   1:241-242
43:32   1:694
44:5    2:109
44:15   2:553
45:8    1:695
46:4    1:220, 1028
46:26   1:288
46:34   1:694; 2:109
47:21   2:109-110
47:29   1:217
48:14   1:217, 1029
48:22   1:97, 1246
49:1    2:206
49:3    2:795
49:4    2:795
49:7    1:1200; 2:944
49:8    2:124-126
49:9    2:125
49:10   1:491-492; 2:127, 928-929
49:11   2:1156
49:13   2:1222
49:14   1:196, 1235
49:15   1:1235; 2:935
49:16   1:573
49:17   1:573, 1084; 2:1157
49:19   1:876-877
49:20   1:190
49:21   2:470-471
49:22   2:110
49:23   2:110
49:24   2:110
49:25   2:110
49:26   2:110
49:27   1:289; 2:432
50:3    1:721-722
Exodus
1:7     1:778-779
1:8     1:696
1:11    1:696, 781
1:14    2:434
1:15    1:779; 2:397
1:16    1:318, 779
1:17    1:779, 857
1:22    1:779
2:3     2:646
2:10    1:50
2:16    2:72-73
3:2     1:380
3:8     1:1135
3:13    2:11-12
3:14    2:12
3:15    2:12
4:11    1:595
4:16    2:53, 435
4:21    1:857
4:22    1:780, 835, 1228
4:23    1:1228
4:24    2:1237
4:25    2:1237
4:26    2:1237
5:2     1:689, 780; 2:12
5:7     1:535
6:3     1:77-78; 2:12-13, 661-662
6:7     2:662
6:20    2:84
7:1     1:9; 2:435
7:15    1:785; 2:369, 502
7:19    2:502
7:20    1:976
7:21    1:976
8:6     1:976
8:19    1:309
8:26    1:617, 690
9:6     1:976
9:9     1:350
9:10    1:976
9:16    2:1181
9:23    1:976
10:14   1:976
10:22   1:976
12:2    2:505
12:6    1:592-593; 2:581
12:8    1:320
12:12   1:976; 2:582
12:16   1:504, 821
12:29   1:976; 2:582
12:30   1:835
12:35   1:278-279
12:36   1:780
12:37   1:778-782; 2:723
12:38   1:397, 780
12:40   1:29, 460, 776-777
12:41   1:29, 448, 460, 522, 776-777
12:46   1:353
13:18   1:397, 780-781
13:21   1:780; 2:643
14:2    1:782
14:24   1:783
15:8    1:783
15:21   2:454
15:25   2:318-319
16:18   2:309
16:26   2:413
16:31   2:309
17:14   1:355, 919
18:16   2:438
18:25   1:517
18:26   1:517
19:4    1:662-663
19:5    1:523
19:6    2:242, 683, 687
19:22   1:136; 2:683
20:2    2:1086
20:3    2:1086
20:4    1:1167-1168; 2:1086
20:5    1:1167-1168
20:7    2:1086
20:8    2:1086
20:10   2:1086
20:12   2:1086
20:17   1:807-808; 2:220, 1086-1087
20:26   1:83
21:6    1:665
21:15   1:435; 2:801
21:20   1:271; 2:978-979
21:21   1:271; 2:978-979
21:22   1:28, 494
21:23   1:28
21:24   1:342
22:2    2:450
22:3    1:494; 2:450
22:5    1:494
22:12   1:494, 561
22:13   1:561
22:20   1:247
22:25   2:259
22:26   1:601
22:27   1:601
23:2    1:343
23:3    1:343
23:8    1:343
23:11   1:58
23:19   1:837; 2:402
23:20   2:393
24:7    2:437
24:8    2:361, 437
25:12   1:165-166
25:18   1:432
26:1    1:432
26:15   2:1059
26:23   2:1059
27:4    1:82
27:20   2:433
28:15   1:365
28:21   1:365
28:30   1:1112; 2:1143
28:31   1:1111
28:36   1:849
28:38   1:849
28:39   1:1111
28:41   1:831
29:6    1:552
29:10   1:218, 1029
29:15   1:218
30:33   1:114
31:17   2:831
31:18   1:1228
32:4    1:207, 393; 2:370
32:5    1:393
32:11   2:437
32:12   2:437
32:14   2:437
32:20   1:393
32:32   1:356; 2:251
32:33   2:251
33:7    2:113, 1085
33:11   2:113
33:23   2:437
34:5    2:466-467
34:14   1:1258
34:15   1:240
34:24   1:820
34:26   2:402
34:28   1:1228
35:22   1:368
38:5    1:82
39:29   1:1111
39:30   1:849
40:15   1:523
Leviticus
2:13    1:521; 2:842
3:16    1:813
3:17    1:813-814
4:11    1:659
4:12    1:659
4:13    2:527
4:15    1:218
4:22    1:433
4:23    1:433
5:1     1:39; 2:234
5:16    1:1130
6:10    1:814
6:30    1:659; 2:527
7:15    1:592
7:23    1:813
8:8     1:1112
8:14    1:1029, 1207-1208
8:15    1:1207-1208
8:23    1:665; 2:1098, 1113
8:27    1:219, 1208
8:28    1:1208
8:31    1:1208
8:33    1:831
9:9     1:345
9:24    1:833
10:1    1:1174
10:9    1:22
11:5    2:816
11:6    1:555-556, 632, 1035
11:7    1:632
11:10   1:838
11:13   1:317
11:19   1:1137
11:32   1:632
11:34   1:632
11:47   1:317
12:2    1:479-480
12:3    1:469-470
12:4    1:479-480
12:5    1:479-480
13:13   2:238
14:8    1:263
15:16   1:479-480
15:18   1:479-480
16:2    1:484
16:5    1:214, 226
16:8    1:225-226
16:10   1:225-226
16:13   1:213
16:14   1:213
16:15   1:213-214
16:22   1:226
16:27   1:659
16:29   1:1129
16:31   1:213
17:3    1:829
17:4    1:829
17:5    1:829
17:7    1:966-967
17:11   1:344-345; 2:1006
17:12   1:345
17:14   2:1006
18:23   1:292
18:24   1:292
19:9    1:962-963
19:15   1:343, 1192-1193
19:19   1:483; 2:1013
19:20   1:863
19:27   1:266, 1021
19:28   1:563; 2:320, 1069
19:30   1:223
20:18   2:372
20:24   1:1135
20:25   1:317, 634
21:5    1:563
23:3    1:503-504
23:10   1:828
23:11   1:828; 2:528
23:17   2:598
23:18   2:598
23:24   1:826
23:27   1:1129
23:32   1:1129
23:39   1:822
23:40   1:822-823
23:42   1:822
23:43   1:823
24:2    2:546
24:19   1:339-340
24:20   1:339-340, 342
25:4    1:58
25:10   1:601
25:15   1:1200
25:23   1:381
25:24   1:381
26:2    1:223
26:6    2:593
27:19   1:1200
27:20   2:859-860
27:21   2:859-860
Numbers
2:2     1:397
3:3     1:831
3:13    2:683
3:28    1:912; 2:183
3:39    1:779-780
3:43    1:779-780
4:3     1:56-57
4:14    1:261
4:30    1:56-57
4:47    1:56-57
5:17    2:1173
5:21    2:1094
8:24    1:56-57
8:25    1:57
8:26    1:57; 2:793-794
9:11    1:320
10:10   1:825
10:31   1:484, 1126
10:33   1:398
11:5    2:232
11:7    1:264-265
11:28   2:113-114
11:29   2:438
11:31   2:718
11:32   2:149, 718
12:1    1:559, 561; 2:414-415, 1237
12:2    1:10-11; 2:414-415
12:3    2:364, 435-436, 438
12:8    2:361, 439-440
12:10   1:11
12:11   1:11
13:26   2:141
13:27   1:740
13:33   1:929; 2:493
14:40   1:1142
14:45   1:1142
15:30   1:338
15:38   1:655
15:39   1:655
15:40   1:655
16:12   1:25
16:13   1:25
18:12   1:837
18:19   1:521
20:1    2:141
20:17   2:174
21:9    1:830
21:14   1:355
21:18   1:275-276
21:22   2:174
21:27   1:1101-1102
22:3    1:779
22:18   1:244
22:41   1:247
24:6    1:80
24:7    1:56
24:14   2:206
24:17   2:206, 420, 799
24:20   1:86
24:24   1:673, 1067; 2:178
24:25   1:244
25:3    1:229
25:4    1:233
25:9    1:233, 863
26:56   1:358-359
26:59   2:84
27:20   2:114
27:21   2:114
28:27   2:598
29:1    1:826
29:7    1:213
33:3    2:723
33:4    1:976
33:54   1:358-359
35:4    2:583-584
35:5    2:583-584
35:19   1:221
35:24   1:472
35:25   1:472
35:33   1:344
Deuteronomy
1:5     1:620; 2:419
2:19    1:92
2:21    1:93
2:23    1:412
2:27    2:174
3:27    2:213
3:28    2:213
4:39    1:1057
5:7     1:774
5:9     1:774
6:8     1:874
6:11    1:58; 2:551
7:1     1:1124
7:15    1:693
8:7     1:740-742, 868
8:8     1:740-742
10:6    1:285
10:16   1:470
11:18   1:874
11:29   1:925-926
12:16   1:344
12:17   2:1110
12:23   2:1006
14:1    1:563
14:7    1:555-556, 1035
14:18   1:1137
14:19   1:317
14:21   1:345; 2:402
14:22   1:821
14:23   1:821
15:1    2:833
15:2    1:601; 2:833
15:3    1:601; 2:833
15:6    2:122-123
15:9    1:601
15:11   2:652
15:12   2:833
16:3    1:826-827
16:18   1:518
16:19   1:343
17:7    2:234
18:18   2:386, 388
19:14   1:359-360
19:21   1:342, 550
20:10   2:1167
20:11   2:1167
20:13   2:1167
21:4    1:1084-1085
21:13   1:655
21:20   1:435
21:21   1:435
22:5    1:654
22:6    1:621
22:7    1:621
22:10   1:196
22:11   1:483
22:15   1:518; 2:341
22:17   2:341
22:18   1:271-272, 863
22:19   1:863
22:24   1:518
23:1    2:1088-1089
23:2    1:1174
23:3    1:95
23:14   1:1133
23:18   1:644, 1036
23:20   1:600; 2:259-260
24:1    1:640; 2:342-343
24:4    1:640-641; 2:343
24:6    2:403
24:10   2:648
24:11   2:648
24:13   1:654
24:16   1:551
24:17   1:654
24:19   1:962-963
25:3    1:271
25:4    1:621; 2:454-455
25:5    1:370-371
25:6    1:370
25:7    1:518
25:9    1:371
25:10   1:371
25:11   1:550; 2:1088-1089
25:12   1:550; 2:1088-1089
25:13   1:242
26:5    1:143
27:17   1:360
28:12   1:1063
28:23   1:786; 2:977
29:1    1:523-524
29:4    1:1057
30:6    1:470
31:20   1:814
31:21   1:855
32:2    2:729-730
32:3    2:466-467
32:8    1:358
32:10   1:789
32:11   1:662-663; 2:494
32:14   1:260, 814
32:33   1:485
32:35   1:727; 2:1149
32:39   1:1055
33:8    2:350, 1144
33:16   1:380
33:17   2:305-306
33:21   2:225
33:23   2:470
33:24   1:847
34:1    1:574
34:10   1:801; 2:439-440
Joshua
1:8     2:363
2:1     1:1151; 2:702
3:4     1:397
3:15    2:105
3:16    1:46
5:1     1:98
5:9     2:779
5:14    1:216
6:26    1:1106
7:12    1:1132
7:24    1:41
10:2    1:599
10:13   1:355; 2:662
11:6    1:1026
11:19   1:931
11:20   1:404
11:21   2:924
12:14   1:1142
13:3    2:927-928
13:5    1:902-903
15:17   1:599
15:63   2:41
18:2    1:359
18:3    1:359
19:1    1:724
20:4    1:472
20:6    1:472
21:3    1:724
21:43   1:402
21:44   1:402
21:45   1:402
24:2    1:1169; 2:429-430
24:14   1:690; 2:429-430
Judges
1:4     1:307
1:5     1:307
1:8     2:41
1:13    1:599
1:17    1:1142-1143
1:21    2:41
1:25    2:285
1:26    2:285
2:13    1:193
2:21    1:404
2:22    1:404
4:11    1:1126; 2:73
5:20    2:1033-1034
5:23    2:381
7:1     1:1038
7:5     1:645; 2:179
7:6     1:933; 2:179
7:13    1:257
7:19    2:499
7:20    1:1143
7:22    1:16
7:24    1:293
8:7     1:272
8:16    1:272
8:26    1:666, 736, 753, 934
8:27    1:736, 753, 934
9:5     2:559
9:15    1:362
9:27    1:231
10:6    1:193
11:1    1:1174; 2:26
11:3    2:26
11:9    2:27
11:24   1:93, 430; 2:27
11:31   2:27-28
11:34   2:28
11:39   2:28
11:40   2:28
12:4    2:28
13:5    1:856; 2:478
14:8    1:275
16:1    1:1151; 2:850
16:3    1:892, 900; 2:850
16:5    1:608-609
16:20   2:850
16:28   2:850
16:29   1:159
17:6    2:162-163
18:30   2:101-102, 307
18:31   2:101-102
20:1    1:277
21:25   2:162-163
Ruth
3:9     2:828-829
3:10    2:829
4:1     1:518
4:20    1:912
4:21    1:912
4:22    1:912
1 Samuel
2:10    2:853
2:31    1:19
2:35    2:853
3:3     2:851
3:13    1:706-707
3:14    1:706-707
5:4     1:570
6:19    1:167
7:4     1:193
8:5     2:163
8:7     2:163
9:9     2:890-891
12:10   1:193
12:11   1:274-275
13:5    2:396
13:17   1:288
14:4    2:395
14:5    2:395
15:7    1:1045
15:12   1:420
15:29   2:777
16:14   2:871-872
17:2    1:701
17:40   1:242
17:45   2:21-22
17:49   1:242
17:55   2:855
18:7    2:454
18:10   2:872
19:13   2:1088
19:20   2:872
19:24   2:696
21:7    1:644
21:13   1:266
22:18   1:736
23:6    1:18, 736
25:29   2:252
25:37   2:457
26:5    1:398
26:20   2:579-580
28:12   2:1027-1028
28:14   1:861
30:24   1:292
30:29   2:146
31:10   1:304
31:12   1:304
2 Samuel
1:10    1:361
1:17    2:454
1:18    1:355
2:10    1:1224
3:29    2:78
5:5     1:1224
5:6     2:190-191
5:8     1:591, 941; 2:41, 190-191
5:9     1:591
5:24    1:241
6:7     2:1145
6:23    2:373-374, 395
7:14    1:273; 2:818
7:16    1:524
8:2     2:206, 420
8:3     1:1015
8:4     1:1015
8:13    1:680
8:17    1:18
11:24   2:78
12:10   1:33, 96
12:11   1:590
12:27   2:78
12:28   2:78
12:30   1:94; 2:424
12:31   1:94
13:20   1:32
13:28   1:96
15:7    1:33
15:17   1:301
15:18   1:431
15:23   1:301
16:22   1:495; 2:157
17:23   1:65-66
18:18   1:34-35
19:24   1:266
20:8    1:169
20:19   1:16
21:4    1:932
21:6    1:932
21:8    2:373-374, 395
21:9    1:1030
21:10   1:377, 1030; 2:815
21:17   2:195
21:19   1:984
22:8    1:1064
22:10   1:1064
22:36   1:1159
23:8    2:113
24:1    2:765
24:9    2:766
24:13   2:766
24:24   1:146-147
1 Kings
2:7     2:356
2:10    1:379
2:17    1:49-50; 2:157, 988
2:22    1:26, 50; 2:157
2:26    1:19
3:16    2:700-701
4:4     1:19; 2:1218
4:7     1:615
4:25    1:749
4:34    1:749
6:1     1:461
6:27    1:432
7:2     1:1156
7:3     1:1156
7:4     1:1156
7:6     2:654
7:7     2:654
7:15    1:412
7:16    1:412
7:21    1:348
7:23    2:425
7:26    2:425-426
7:38    1:261
8:27    1:1060
8:65    2:927-928
9:3     2:989
9:13    1:369, 381
9:15    1:158, 866, 1049-1050
9:26    2:1066-1067
9:28    2:558
10:11   1:72
10:12   1:72
11:4    2:991-992
11:13   1:947
11:40   2:37
12:11   1:273
12:14   1:273
12:28   1:207
13:1    1:1108
13:2    1:297, 856, 1108
14:25   1:697, 952
15:14   1:183-184, 1108-1109
15:16   1:184
16:31   1:59, 230, 766
16:34   1:1106
17:1    1:230
18:19   1:949-950
18:21   2:191
18:26   1:575
18:28   1:563
18:46   1:654
19:3    1:711
19:4    1:368
19:5    1:368
19:6    1:243
19:8    1:711, 950
19:11   1:711
19:12   1:711
19:15   1:16, 113-114
19:16   1:16, 113-114; 2:22
19:19   1:16, 714; 2:649
19:21   1:714
20:24   1:286
20:31   1:216
20:34   1:60, 286
20:40   1:1176
21:19   1:60
21:21   1:209
22:22   2:245
22:23   2:245
22:31   1:286
22:34   1:171-172
22:38   1:60
22:39   1:59
22:48   2:1066-1067
22:49   1:63
2 Kings
1:2     1:63, 233-234
2:1     1:961
2:3     2:697
2:9     1:712
2:11    1:712, 1064
2:23    1:245-246
2:24    1:245-246
3:5     1:152
3:11    1:217
3:22    2:381-382
3:27    2:382
4:29    1:654
4:38    2:697
4:40    1:991
5:1     2:456
5:12    1:12-13
5:17    1:716
5:18    1:716; 2:456
5:23    1:242
6:13    1:950
6:17    1:647
6:18    1:343, 647, 716
6:19    1:343
6:20    1:343
6:25    1:648; 2:427
8:10    1:1046-1047
8:15    2:908
9:1     1:654
9:27    1:63
9:31    2:1235
10:12   1:315
11:16   1:896
12:10   1:242
13:5    1:287
13:21   1:352
14:9    1:424
14:13   1:894
14:28   2:38
16:9    1:414, 1219
16:17   1:62
16:18   1:62
17:1    1:1148-1149
17:24   1:204, 1233
17:28   1:297
18:5    1:1102
18:6    1:1102
18:13   1:204, 952
18:17   1:957; 2:211
18:28   1:957
19:24   2:502
19:28   1:1136
19:37   1:155
20:11   2:1043-1044
20:12   2:380-381
20:13   1:1105
20:20   1:151, 1104; 2:43
21:13   2:240
22:8    1:1118
22:20   1:1157
23:5    2:1240
23:8    1:277
23:10   2:1114-1115
23:15   1:297, 856, 1108
23:16   1:297, 856, 1108
23:20   1:1108
23:29   1:205; 2:482-483
24:1    1:1269; 2:480
24:10   1:1267
24:11   2:480-481
24:12   2:480-481
24:13   1:1267
24:17   2:480-481
25:8    1:11; 2:482
1 Chronicles
2:54    1:214-215
3:19    1:916-917
5:9     1:768
5:10    1:1019-1020
5:26    2:1101
6:28    2:85
8:33    1:228
8:34    1:228
11:11   2:113
12:27   1:11
12:33   1:1058
13:5    2:927-928
14:15   1:241
15:21   1:69
16:31   2:164
18:4    1:1015
18:12   1:680
20:2    1:94, 552; 2:424
20:5    1:984
21:1    2:765
21:2    1:277
21:5    2:766
21:6    2:765-766
21:12   2:766
21:23   1:811
21:25   1:146
22:2    2:42
22:8    2:987
25:7    2:451-452
27:1    1:174
27:7    1:185
28:9    1:1058
29:23   2:163
29:29   2:890
2 Chronicles
2:8     1:72
4:5     2:425-426
8:2     1:381
8:18    2:558
9:21    1:796
10:11   2:1180
11:15   1:966-967
11:18   1:21-22
12:2    1:697
13:5    1:521
14:3    1:183-184
15:17   1:183-184, 1108-1109
15:19   1:184
16:1    1:184
16:14   1:378, 722
19:4    1:277
20:36   1:796; 2:1067
21:2    1:224
21:12   1:712
22:7    1:63
22:9    1:63
23:15   1:896
24:6    2:1069
24:21   1:254
24:22   1:254-255; 2:1223
24:25   2:1223
25:23   1:894
26:17   1:224
27:5    1:94
28:1    1:61
29:10   1:1103
29:27   2:452
30:5    1:277
30:11   1:1103
32:21   2:894-895
32:25   1:1105
32:30   1:151, 942, 1104; 2:43
33:11   1:204, 758
34:14   1:1118
34:28   1:1157
35:3    1:167
36:6    1:1269
36:10   2:326
36:21   1:463, 568-569; 2:834
36:22   1:568
36:23   1:148, 568
Ezra
1:1     1:458-459, 568, 800
1:2     1:568
1:5     2:332
1:7     1:569; 2:482
2:1     2:139-140
2:64    2:489
3:1     1:458-459, 463, 568
4:7     1:181-182
4:10    1:188, 205
4:23    2:613
4:24    1:583; 2:613
5:13    1:583-584
6:2     1:569, 674
6:3     2:612-613
6:14    1:182
6:15    1:463, 584
7:1     1:910
7:6     1:182, 416-417
7:7     2:332
7:10    1:796
10:8    1:247
Nehemiah
1:1     2:487-488, 900
1:3     2:140
2:1     2:487-488, 899-900
2:8     1:422
2:13    1:868, 894-895
2:14    1:896
3:1     1:894
3:6     1:894
3:11    1:243
3:15    2:651-652
3:31    1:896
7:2     1:422
7:6     2:139-140
7:66    2:489
8:7     2:1138
8:8     1:145, 1070; 2:1138
8:10    1:814
8:15    1:822
11:30   1:277
12:22   1:584; 2:616
12:31   1:894-895
12:37   1:592
12:38   1:243
12:39   1:894
13:6    2:488-489
13:25   2:487
13:31   2:487
Esther
1:1     1:560, 762-763, 1198
1:2     1:148-149, 422
1:3     1:763
1:4     1:763
1:5     1:763
1:10    1:12
2:18    1:95-96
3:1     1:1023
3:2     2:431
3:5     1:216
3:7     1:638
3:13    1:797
5:1     1:764
5:2     1:764
8:1     2:330-331
8:9     1:560
Job
1:1     1:337, 1210
1:4     1:319
1:6     1:135
1:8     2:81, 604-605
1:9     2:867
1:11    2:1011
2:1     1:135
2:4     2:1011
2:6     2:867
3:19    1:872
9:9     2:147
9:20    1:337
12:11   2:449
14:17   1:242
18:6    2:196
19:20   2:977, 1074
20:17   1:380
21:24   2:344-345
24:2    1:360
30:4    1:368
31:11   2:141
31:27   1:216
31:28   2:141
31:35   2:942
33:24   1:710
33:25   1:710
34:3    2:449
34:7    2:808
37:18   1:786, 1060; 2:977
38:6    1:514
38:13   2:254-255
38:14   1:668
38:15   2:254-255
38:30   1:1166
38:31   2:147, 151
38:32   1:189; 2:355-356
38:33   2:1032
38:37   1:1063-1064
39:5    1:196
39:13   2:562, 1039
39:14   2:562
39:16   2:562
39:29   1:663
40:7    1:219
40:15   1:280
40:18   1:352
Psalms
2:3     1:507
2:4     2:210
2:7     2:998, 1001
5:9     1:995
8:4     2:1002
8:5     1:968; 2:1002
8:6     2:1002
9:16    1:1107
11:3    1:867
12:2    1:1058
14:1    1:846; 2:1139
15:4    1:1211
16:6    2:357
16:7    2:150
16:10   2:281, 789-790
17:8    1:789; 2:714-715
18:35   1:1159
19:7    1:1073
19:13   2:680
22:12   1:260
23:1    1:1073
24:1    1:1073
26:2    2:150
27:14   1:516
31:5    2:1025-1026, 1130
32:4    2:251-252
32:9    1:367
34:20   1:353; 2:233
36:6    2:445
37:25   1:963
38:18   1:118-119
41:3    1:1055
41:9    1:219, 857-858, 1084
45:1    1:506
45:7    1:114; 2:547
45:9    2:721
45:13   2:721
45:16   2:229
49:7    1:211
51:5    2:18
55:12   1:65-66, 857-858
55:13   1:857-858
56:8    1:357
58:4    1:428, 485-486
58:5    1:428, 485-486
59:5    2:1120
59:8    2:210
60:superscription    1:680
65:2    2:667-668
66:12   1:1051
68:15   2:445
68:16   2:445
69:21   2:650
72:7    2:993
72:8    2:882, 993
74:13   2:240-241
74:14   2:240-241
78:12   2:1238-1239
78:24   2:309-310
78:25   2:309-310
78:43   2:1238-1239
80:1    2:111
81:6    1:261-262
82:1    1:969; 2:1001
82:5    1:867
82:6    1:969; 2:1001
83:10   1:724
84:3    2:1046
86:11   1:1058
89:6    1:968
89:27   1:836
90:4    1:594
90:10   2:252
91:14   2:466-467
95:8    2:350-351
97:7    2:524
98:8    2:446
102:6   2:596
102:25  1:1063
102:26  1:1063
103:3   1:1055
103:5   1:664
104:2   1:1064
104:4   2:1018
104:24  1:545
104:29  1:596
105:40  2:309-310
109:8   1:857-858; 2:131
109:10  1:279
110:2   1:726; 2:817
110:4   1:524; 2:366-367
118:22  1:513-514
119:83  1:357; 2:982
121:1   2:445
121:6   2:430
126:5   2:1013
128:3   1:543; 2:552
129:6   1:1155
131:2   2:1175
132:17  2:164
133:3   1:624, 1090
135:15  1:1074
135:16  1:1074
135:17  1:1074
135:18  1:1074
137:2   2:653
139:16  1:789
141:2   1:1196
144:15  2:1038
146:4   1:596; 2:1025
148:10  1:316-317
Proverbs
1:4     2:1094
1:5     2:1140
1:6     2:806, 1140
1:7     2:180
1:9     2:483
1:17    1:316
2:3     2:182
3:18    2:250
3:27    1:1192
4:18    2:254
4:23    1:1057; 2:811
5:2     2:182
5:3     1:1135
5:19    1:966
6:3     1:1157-1158
6:6     1:115
6:26    2:701
6:30    2:701
6:31    2:701
6:32    1:1058
6:35    2:701
7:2     2:714-715
7:3     1:832
7:14    2:701
7:22    2:701
7:23    2:258-259, 701
8:22    2:52-53
9:10    2:182, 704
10:22   1:340
10:28   1:1138
11:7    1:1138
12:10   2:378
12:25   1:118
13:9    2:196
13:10   2:681
13:20   1:200
13:24   2:276
14:17   2:1094-1095
14:29   1:110
14:30   1:110
15:15   2:356
15:19   1:367; 2:227
15:28   2:363
15:30   1:814
16:4    2:1181
16:9    1:857
16:22   1:629
16:24   1:1135
17:18   1:1058
17:22   1:632-633
17:23   1:366
18:10   1:866-867; 2:467, 706
18:12   1:1161
19:8    1:1059
20:4    1:279; 2:648
20:16   2:648
20:26   2:1180
20:30   1:272
21:11   1:1202; 2:1190
21:14   1:366
21:18   2:734
21:30   2:704-705
23:6    1:1152
23:7    1:1152
